timestamp,amount,running_balance,month_year,category
2022-12-04 00:00:00+00:00,-16.96,53902.5,2022-12,transfer
2022-12-04 00:00:00+00:00,-5.0,53907.5,2022-12,shopping
2022-12-04 00:00:00+00:00,-3.07,53910.57,2022-12,finances
2022-12-04 00:00:00+00:00,-100.0,54010.57,2022-12,transfer
2022-12-04 00:00:00+00:00,46.55,53964.02,2022-12,transfer
2022-12-04 00:00:00+00:00,-3.59,53967.61,2022-12,business services
2022-12-04 00:00:00+00:00,25.0,53942.61,2022-12,transfer
2022-12-04 00:00:00+00:00,-130.0,54072.61,2022-12,rent
2022-12-03 00:00:00+00:00,0.89,54071.72,2022-12,transfer
2022-12-03 00:00:00+00:00,-0.41,54072.13,2022-12,savings
2022-12-03 00:00:00+00:00,130.0,53942.13,2022-12,transfer
2022-12-03 00:00:00+00:00,7.0,53935.13,2022-12,transfer
2022-12-03 00:00:00+00:00,-28.54,53963.67,2022-12,transport
2022-12-03 00:00:00+00:00,46.68,53916.99,2022-12,entertainment
2022-12-03 00:00:00+00:00,-0.01,53917.0,2022-12,savings
2022-12-03 00:00:00+00:00,-2.99,53919.99,2022-12,entertainment
2022-12-03 00:00:00+00:00,-30.0,53949.99,2022-12,shopping
2022-12-03 00:00:00+00:00,29.42,53920.57,2022-12,transfer
2022-12-03 00:00:00+00:00,-32.36,53952.93,2022-12,transfer
2022-12-03 00:00:00+00:00,-2.26,53955.19,2022-12,groceries / food spend
2022-12-02 00:00:00+00:00,33.38,53921.81,2022-12,transfer
2022-12-02 00:00:00+00:00,-30.0,53951.81,2022-12,transfer
2022-12-02 00:00:00+00:00,10.55,53941.26,2022-12,transfer
2022-12-02 00:00:00+00:00,-0.5,53941.76,2022-12,savings
2022-12-01 00:00:00+00:00,-46.82,53988.58,2022-12,bills and utilities
2022-12-01 00:00:00+00:00,-0.01,53988.59,2022-12,fees and charges
2022-12-01 00:00:00+00:00,-352.25,54340.84,2022-12,transfer
2022-12-01 00:00:00+00:00,-39.99,54380.83,2022-12,groceries / food spend
2022-12-01 00:00:00+00:00,-0.01,54380.84,2022-12,finances
2022-12-01 00:00:00+00:00,-0.01,54380.85,2022-12,shopping
2022-12-01 00:00:00+00:00,-0.0,54380.85,2022-12,shopping
2022-12-01 00:00:00+00:00,-0.01,54380.86,2022-12,groceries / food spend
2022-12-01 00:00:00+00:00,-0.01,54380.87,2022-12,groceries / food spend
2022-12-01 00:00:00+00:00,-0.01,54380.88,2022-12,groceries / food spend
2022-12-01 00:00:00+00:00,-0.02,54380.9,2022-12,groceries / food spend
2022-12-01 00:00:00+00:00,-0.01,54380.91,2022-12,transport
2022-12-01 00:00:00+00:00,-200.0,54580.91,2022-12,restaurants / eating out / delivery
2022-12-01 00:00:00+00:00,-0.01,54580.92,2022-12,home and garden
